  Mission            Instrument        Sensing Date                                                                            ID                                                                                      Size
Sentinel-1A            SAR-C        2018-06-10T09:55:53Z             S1A_IW_SLC__1SDV_20180610T095553_20180610T095620_022293_0269A6_092B     3.35GB
Sentinel-1A            SAR-C        2018-06-10T09:56:18Z             S1A_IW_SLC__1SDV_20180610T095618_20180610T095646_022293_0269A6_337D     4.26GB
Sentinel-1A            SAR-C        2018-06-22T09:55:54Z             S1A_IW_SLC__1SDV_20180622T095554_20180622T095621_022468_026EEF_D03A     3.54GB
Sentinel-1A            SAR-C        2018-06-22T09:56:19Z             S1A_IW_SLC__1SDV_20180622T095619_20180622T095646_022468_026EEF_243B      4.34GB
Sentinel-1A            SAR-C        2018-07-04T09:55:54Z             S1A_IW_SLC__1SDV_20180704T095554_20180704T095621_022643_027407_6A4D     3.32GB
Sentinel-1A            SAR-C        2018-07-04T09:56:19Z             S1A_IW_SLC__1SDV_20180704T095619_20180704T095647_022643_027407_DA77     4.30GB
Sentinel-1A            SAR-C        2019-06-05T09:55:59Z             S1A_IW_SLC__1SDV_20190605T095559_20190605T095626_027543_031BAA_E0F0     3.61GB
Sentinel-1A            SAR-C        2019-06-05T09:56:23Z             S1A_IW_SLC__1SDV_20190605T095623_20190605T095651_027543_031BAA_CF4F     4.26GB
Sentinel-1A            SAR-C        2019-06-17T09:55:59Z             S1A_IW_SLC__1SDV_20190617T095559_20190617T095626_027718_0320F1_2390      3.45GB
Sentinel-1A            SAR-C        2019-06-17T09:56:24Z             S1A_IW_SLC__1SDV_20190617T095624_20190617T095652_027718_0320F1_33B3      4.23GB
Sentinel-1A            SAR-C        2019-06-29T09:56:00Z             S1A_IW_SLC__1SDV_20190629T095600_20190629T095627_027893_03262C_B0CD     3.43GB
Sentinel-1A            SAR-C        2019-06-29T09:56:25Z             S1A_IW_SLC__1SDV_20190629T095625_20190629T095653_027893_03262C_1CAB     4.26GB
Sentinel-1A            SAR-C        2019-07-11T09:56:01Z             S1A_IW_SLC__1SDV_20190711T095601_20190711T095628_028068_032B79_5A7F      3.43GB
Sentinel-1A            SAR-C        2019-07-11T09:56:25Z             S1A_IW_SLC__1SDV_20190711T095625_20190711T095653_028068_032B79_E407      4.32GB
Sentinel-1A            SAR-C        2019-07-23T09:56:02Z             S1A_IW_SLC__1SDV_20190723T095602_20190723T095629_028243_0330C2_EC53      3.40GB
Sentinel-1A            SAR-C        2019-07-23T09:56:26Z             S1A_IW_SLC__1SDV_20190723T095626_20190723T095654_028243_0330C2_64B5      4.30GB
Sentinel-1A            SAR-C        2019-08-04T09:56:02Z             S1A_IW_SLC__1SDV_20190804T095602_20190804T095629_028418_033619_AA47      3.52GB
Sentinel-1A            SAR-C        2019-08-04T09:56:27Z             S1A_IW_SLC__1SDV_20190804T095627_20190804T095655_028418_033619_2A4F      4.33GB
Sentinel-1A            SAR-C        2020-06-11T09:56:06Z             S1A_IW_SLC__1SDV_20200611T095606_20200611T095633_032968_03D199_FE38      3.44GB
Sentinel-1A            SAR-C        2020-06-11T09:56:31Z             S1A_IW_SLC__1SDV_20200611T095631_20200611T095658_032968_03D199_10C9      4.26GB
Sentinel-1A            SAR-C        2020-06-23T09:56:06Z             S1A_IW_SLC__1SDV_20200623T095606_20200623T095633_033143_03D6EB_1882      3.58GB
Sentinel-1A            SAR-C        2020-06-23T09:56:31Z             S1A_IW_SLC__1SDV_20200623T095631_20200623T095659_033143_03D6EB_5B2C      4.51GB
Sentinel-1A            SAR-C        2020-07-05T09:56:07Z             S1A_IW_SLC__1SDV_20200705T095607_20200705T095634_033318_03DC36_1570      3.51GB
Sentinel-1A            SAR-C        2020-07-05T09:56:32Z             S1A_IW_SLC__1SDV_20200705T095632_20200705T095700_033318_03DC36_89AA     4.33GB
Sentinel-1A            SAR-C        2021-06-06T09:56:11Z             S1A_IW_SLC__1SDV_20210606T095611_20210606T095638_038218_0482A3_B42B      3.27GB
Sentinel-1A            SAR-C        2021-06-06T09:56:36Z             S1A_IW_SLC__1SDV_20210606T095636_20210606T095704_038218_0482A3_052B      4.07GB
Sentinel-1A            SAR-C        2021-06-18T09:56:12Z             S1A_IW_SLC__1SDV_20210618T095612_20210618T095639_038393_0487D6_6B1F      3.33GB
Sentinel-1A            SAR-C        2021-06-18T09:56:37Z             S1A_IW_SLC__1SDV_20210618T095637_20210618T095705_038393_0487D6_FBDB     4.13GB
Sentinel-1A            SAR-C        2021-06-30T09:56:13Z             S1A_IW_SLC__1SDV_20210630T095613_20210630T095640_038568_048D13_C65A     3.32GB
Sentinel-1A            SAR-C        2021-06-30T09:56:38Z             S1A_IW_SLC__1SDV_20210630T095638_20210630T095705_038568_048D13_AB13      4.11GB
Sentinel-1A            SAR-C        2021-07-12T09:56:13Z             S1A_IW_SLC__1SDV_20210712T095613_20210712T095640_038743_04925C_CEB3      3.37GB
Sentinel-1A            SAR-C        2021-07-12T09:56:38Z             S1A_IW_SLC__1SDV_20210712T095638_20210712T095706_038743_04925C_C665      4.16GB
Sentinel-1B            SAR-C        2018-06-16T21:56:17Z             S1B_IW_SLC__1SDV_20180616T215617_20180616T215648_011404_014F22_474A      4.58GB
Sentinel-1B            SAR-C        2018-06-28T21:56:18Z             S1B_IW_SLC__1SDV_20180628T215618_20180628T215648_011579_015496_005A      4.50GB
Sentinel-1B            SAR-C        2018-07-10T21:56:18Z             S1B_IW_SLC__1SDV_20180710T215618_20180710T215649_011754_0159FF_E20B      4.73GB
Sentinel-1B            SAR-C        2019-06-11T21:56:09Z             S1B_IW_SLC__1SDV_20190611T215609_20190611T215656_016654_01F587_4189       3.75GB
Sentinel-1B            SAR-C        2019-06-23T21:56:35Z             S1B_IW_SLC__1SDV_20190623T215635_20190623T215657_016829_01FAB4_FAB9      3.12GB
Sentinel-1B            SAR-C        2019-07-05T21:56:24Z             S1B_IW_SLC__1SDV_20190705T215624_20190705T215655_017004_01FFDE_C4F2      4.61GB
Sentinel-1B            SAR-C        2019-07-17T21:56:25Z             S1B_IW_SLC__1SDV_20190717T215625_20190717T215656_017179_020504_D28A     4.69GB
Sentinel-1B            SAR-C        2019-07-29T21:56:26Z             S1B_IW_SLC__1SDV_20190729T215626_20190729T215656_017354_020A25_F7B8      4.67GB
Sentinel-1B            SAR-C        2020-06-17T21:56:30Z             S1B_IW_SLC__1SDV_20200617T215630_20200617T215700_022079_029E6C_45F5      4.62GB
Sentinel-1B            SAR-C        2021-06-12T21:56:35Z             S1B_IW_SLC__1SDV_20210612T215635_20210612T215706_027329_03439C_A68A     4.32GB
Sentinel-1B            SAR-C        2021-06-24T21:56:36Z             S1B_IW_SLC__1SDV_20210624T215636_20210624T215707_027504_034887_F6A3      4.46GB
Sentinel-1B            SAR-C        2021-07-06T21:56:37Z             S1B_IW_SLC__1SDV_20210706T215637_20210706T215707_027679_034DAC_9328     4.38GB
Sentinel-1B            SAR-C        2021-07-18T21:56:37Z             S1B_IW_SLC__1SDV_20210718T215637_20210718T215708_027854_0352DF_B198      4.46GB
